Summary,Status,Assignee,Assignee (Email Address),Modified Time,Created Time,Due Date,Task Type,Object URL,Profile Name
Renewal task for Site org_csd_test092 triggered due to workspace inactivity,Canceled,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-07-05 12:28:52,2026-05-21 12:28:42,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test092,ADB - SharePoint Site Renewal
Renewal task for Site CSD_DRMDemo41 triggered due to workspace inactivity,Canceled,John Rick D. Navoa,AdaLu@7rkd12.onmicrosoft.com,2026-07-05 11:55:35,2026-05-21 11:55:27,2026-06-21 11:55:26,Renew Site,https://7rkd12.sharepoint.com/sites/CSD_DRMDemo41,ADB - SharePoint Site Renewal
Renewal task for Site CSD_DRMDemo41 triggered due to workspace inactivity,Canceled,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-07-05 11:55:35,2026-05-21 11:55:27,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/CSD_DRMDemo41,ADB - SharePoint Site Renewal
Renewal task for Site CSD_BonnieTest1223-1 triggered due to workspace inactivity,Waiting for confirmation,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-05-18 16:59:42,2026-05-04 16:59:37,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/csd_000007,CSD Site Renewal
Renewal task for Site [TEST] DRM Backend Site triggered due to workspace inactivity,Waiting for confirmation,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-05-18 16:59:20,2026-05-04 16:59:14,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/csd_000008,CSD Site Renewal
Scheduled renewal task for Site grp_csd_sample,Canceled,Savannah Test,Savannah@7rkd12.onmicrosoft.com,2026-08-10 10:33:24,2026-05-01 15:00:13,2026-05-04 15:00:13,Renew Site,https://7rkd12.sharepoint.com/teams/grp_csd_sample,ADB Renewal
Scheduled renewal task for Site grp_csd_sample,Canceled,Leila Test,LeilaTest@7rkd12.onmicrosoft.com,2026-08-10 10:33:24,2026-05-01 15:00:13,2026-05-04 15:00:13,Renew Site,https://7rkd12.sharepoint.com/teams/grp_csd_sample,ADB Renewal
Scheduled renewal task for Site grp_csd_sample,Canceled,Alex Wilber,AlexW@7rkd12.onmicrosoft.com,2026-08-10 10:33:24,2026-05-01 15:00:13,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/teams/grp_csd_sample,ADB Renewal
Renewal task for Site test04 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-05-31 11:18:00,2026-04-17 11:17:35,2026-05-17 11:17:34,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test04,ADB - SharePoint Site Renewal
Renewal task for Site test04 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-05-31 11:18:00,2026-04-17 11:17:35,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test04,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test097 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-05-30 12:45:59,2026-04-16 12:45:03,2026-05-16 12:45:03,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test097,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test097 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-05-30 12:45:59,2026-04-16 12:45:03,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test097,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_1.3testsite-people triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-05-21 19:38:17,2026-04-07 19:37:18,2026-05-07 19:37:17,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_1.3testsite-people,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_1.3testsite-people triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-05-21 19:38:17,2026-04-07 19:37:18,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_1.3testsite-people,ADB - SharePoint Site Renewal
Renewal task for Site Test_Ryan_Admin triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-18 16:52:44,2026-04-04 16:52:25,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/CSD_RyanAdmin,ADB - SharePoint Site Renewal
Scheduled renewal task for Guest User test,Waiting for confirmation (Task overdue),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-03-30 20:14:07,2026-03-27 20:14:06,2026-03-30 20:14:06,Renew Guest User,,DEV-Guest user renew profile
Scheduled renewal task for Guest User xfpeng,Waiting for confirmation (Task overdue),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-03-24 16:27:45,2026-03-21 16:27:43,2026-03-24 16:27:43,Renew Guest User,,DEV-Guest user renew profile
Scheduled renewal task for Guest User Doris Han,Waiting for confirmation (Task overdue),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-03-24 16:14:58,2026-03-21 16:14:56,2026-03-24 16:14:56,Renew Guest User,,DEV-Guest user renew profile
Renewal task for Site Administrative Site Template triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-22 18:18:29,2026-03-08 18:18:00,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/AdministrativeSiteTemplate,ADB - SharePoint Site Renewal
Renewal task for Site People Management Site Template triggered due to workspace inactivity,Canceled,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-08-03 16:41:02,2026-03-08 17:34:44,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/PeopleManagementSiteTemplate,ADB - SharePoint Site Renewal
Scheduled renewal task for Site traditionalsite02,Canceled,Leila Test,LeilaTest@7rkd12.onmicrosoft.com,2026-03-06 11:28:14,2026-03-06 11:12:19,2026-03-09 11:12:19,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite02,escalation- Archive site
Scheduled renewal task for Site traditionalsite02,Canceled,Alex Wilber,AlexW@7rkd12.onmicrosoft.com,2026-03-06 11:28:14,2026-03-06 11:12:19,2026-03-09 11:12:19,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite02,escalation- Archive site
Scheduled renewal task for Site traditionalsite02,Canceled,Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-03-06 11:28:14,2026-03-06 11:12:19,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite02,escalation- Archive site
Scheduled renewal task for Site traditionalsite01,Completed,Ryan Test,RyanTest@7rkd12.onmicrosoft.com,2026-03-06 11:11:58,2026-03-06 11:10:34,2026-03-09 11:10:34,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite01,escalation- Archive site
Scheduled renewal task for Site traditionalsite01,Completed,Nigel test,Nigeltest@7rkd12.onmicrosoft.com,2026-03-06 11:11:58,2026-03-06 11:10:34,2026-03-09 11:10:34,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite01,escalation- Archive site
Scheduled renewal task for Site traditionalsite01,Completed,Logan Test,LoganTest@7rkd12.onmicrosoft.com,2026-03-06 11:11:58,2026-03-06 11:10:34,2026-03-09 11:10:34,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite01,escalation- Archive site
Scheduled renewal task for Site traditionalsite01,Completed,Leila Test,LeilaTest@7rkd12.onmicrosoft.com,2026-03-06 11:11:58,2026-03-06 11:10:34,2026-03-09 11:10:34,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite01,escalation- Archive site
Scheduled renewal task for Site traditionalsite01,Completed,Leah Test,LeahTest@7rkd12.onmicrosoft.com,2026-03-06 11:11:58,2026-03-06 11:10:34,2026-03-09 11:10:34,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite01,escalation- Archive site
Scheduled renewal task for Site traditionalsite01,Completed,John Rick D. Navoa,AdaLu@7rkd12.onmicrosoft.com,2026-03-06 11:11:58,2026-03-06 11:10:34,2026-03-09 11:10:34,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite01,escalation- Archive site
Scheduled renewal task for Site traditionalsite01,Completed,HazelTest (Inactive),HazelTest@7rkd12.onmicrosoft.com,2026-03-06 11:11:58,2026-03-06 11:10:34,2026-03-09 11:10:34,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite01,escalation- Archive site
Scheduled renewal task for Site traditionalsite01,Completed,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-03-06 11:11:58,2026-03-06 11:10:34,2026-03-09 11:10:34,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite01,escalation- Archive site
Scheduled renewal task for Site traditionalsite01,Completed,Alex Wilber,AlexW@7rkd12.onmicrosoft.com,2026-03-06 11:11:58,2026-03-06 11:10:34,2026-03-09 11:10:34,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite01,escalation- Archive site
Scheduled renewal task for Site traditionalsite01,Completed,Alex Test,AlexTest@7rkd12.onmicrosoft.com,2026-03-06 11:11:58,2026-03-06 11:10:34,2026-03-09 11:10:34,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite01,escalation- Archive site
Scheduled renewal task for Site traditionalsite01,Completed,Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-03-06 11:11:58,2026-03-06 11:10:34,2026-03-09 11:10:34,Renew Site,https://7rkd12.sharepoint.com/sites/traditionalsite01,escalation- Archive site
Renewal task for Site Test_Ryan_Admin triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Ryan Test,RyanTest@7rkd12.onmicrosoft.com,2026-04-18 16:52:44,2026-03-04 16:52:15,2026-04-04 16:52:14,Renew Site,https://7rkd12.sharepoint.com/sites/CSD_RyanAdmin,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test096 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-04-11 17:46:58,2026-02-28 17:46:40,2026-03-28 17:46:39,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test096,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test096 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-11 17:46:58,2026-02-28 17:46:40,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test096,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test09 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-04-11 17:46:10,2026-02-28 17:45:47,2026-03-28 17:45:46,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test09,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test09 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-11 17:46:10,2026-02-28 17:45:47,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test09,ADB - SharePoint Site Renewal
Renewal task for Site test02 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-04-11 17:44:24,2026-02-28 17:43:59,2026-03-28 17:43:58,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test02,ADB - SharePoint Site Renewal
Renewal task for Site test02 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-11 17:44:24,2026-02-28 17:43:59,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test02,ADB - SharePoint Site Renewal
Renewal task for Site test05 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-04-11 17:25:07,2026-02-28 17:24:42,2026-03-28 17:24:41,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test05,ADB - SharePoint Site Renewal
Renewal task for Site test05 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-11 17:25:07,2026-02-28 17:24:42,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test05,ADB - SharePoint Site Renewal
Renewal task for Site CSD_ada03 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-08 18:55:36,2026-02-25 18:55:18,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/CSD_ada03,ADB - SharePoint Site Renewal
Renewal task for Site CSD_ada01 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-08 18:55:36,2026-02-25 18:55:09,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/CSD_ada01,ADB - SharePoint Site Renewal
Renewal task for Site test1 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-08 18:23:56,2026-02-25 18:23:30,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_adaae,ADB - SharePoint Site Renewal
Renewal task for Site RyanTest250302 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-03-08 12:00:50,2026-02-22 12:00:33,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/CSD_RyanTest250302,ADB - SharePoint Site Renewal
Scheduled renewal task for Guest User Qiaojun Lu,Waiting for confirmation (Task overdue),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-02-24 19:15:25,2026-02-21 19:15:24,2026-02-24 19:15:24,Renew Guest User,,DEV-Guest user renew profile
Renewal task for Site test06 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-04-04 17:51:48,2026-02-21 17:45:10,2026-03-21 17:45:09,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test06,ADB - SharePoint Site Renewal
Renewal task for Site test06 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-04 17:51:48,2026-02-21 17:45:10,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test06,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test094 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-04-02 20:12:40,2026-02-19 20:12:10,2026-03-19 20:12:09,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test094,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test094 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-02 20:12:40,2026-02-19 20:12:10,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test094,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test08 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-04-02 19:08:52,2026-02-19 19:08:34,2026-03-19 19:08:33,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test08,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test08 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-02 19:08:52,2026-02-19 19:08:34,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test08,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test07 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-04-02 19:08:52,2026-02-19 19:08:28,2026-03-19 19:08:27,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test07,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test07 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-02 19:08:52,2026-02-19 19:08:28,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test07,ADB - SharePoint Site Renewal
Renewal task for Site test03 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-04-02 18:49:33,2026-02-19 18:49:07,2026-03-19 18:49:06,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test03,ADB - SharePoint Site Renewal
Renewal task for Site test03 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-02 18:49:33,2026-02-19 18:49:07,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test03,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test095 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-04-02 12:19:05,2026-02-19 12:18:37,2026-03-19 12:18:36,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test095,ADB - SharePoint Site Renewal
Renewal task for Site org_csd_test095 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-04-02 12:19:05,2026-02-19 12:18:37,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_test095,ADB - SharePoint Site Renewal
Scheduled renewal task for Site R1.3 test site,Submitted,Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-02-04 12:36:38,2026-02-04 11:00:12,2026-03-04 11:00:12,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_1.3testsite,ADB - SharePoint Site Renewal
Scheduled renewal task for Site R1.3 test site,Submitted,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-02-04 12:36:38,2026-02-04 11:00:12,2026-03-04 11:00:12,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_1.3testsite,ADB - SharePoint Site Renewal
Scheduled renewal task for Site app_edrms_data,Canceled,John Rick D. Navoa,AdaLu@7rkd12.onmicrosoft.com,2026-03-17 12:05:51,2026-02-02 17:08:31,2026-03-02 17:08:31,Renew Site,https://7rkd12.sharepoint.com/sites/app_edrms_data,ADB - SharePoint Site Renewal
Scheduled renewal task for Site app_edrms_data,Canceled,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-03-17 12:05:51,2026-02-02 17:08:31,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/app_edrms_data,ADB - SharePoint Site Renewal
Renewal task for Site Duckyduck_Test_DivSite triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-02-07 16:11:58,2026-01-24 16:11:38,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/CSD_Duck_Test,ADB - SharePoint Site Renewal
Renewal task for Site Test_Ryan_Division triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-02-06 19:48:26,2026-01-23 19:48:09,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/CSD_RyanDiv,ADB - SharePoint Site Renewal
Renewal task for Site RyanTest250302 triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Ryan Test,RyanTest@7rkd12.onmicrosoft.com,2026-03-08 12:00:50,2026-01-22 12:00:29,2026-02-22 12:00:28,Renew Site,https://7rkd12.sharepoint.com/sites/CSD_RyanTest250302,ADB - SharePoint Site Renewal
Scheduled renewal task for Site R1.3 test site,Canceled,Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-02-02 16:47:40,2026-01-20 22:56:45,2026-02-20 22:56:44,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_1.3testsite,ADB - SharePoint Site Renewal
Scheduled renewal task for Site R1.3 test site,Canceled,Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-02-02 16:47:40,2026-01-20 22:56:45,2026-02-20 22:56:44,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_1.3testsite,ADB - SharePoint Site Renewal
Renewal task for Site doris530listexperience triggered due to workspace inactivity,Canceled,Admin ADB,Admin@7rkd12.onmicrosoft.com,2026-02-02 16:47:45,2026-01-16 18:42:51,2026-02-16 18:42:51,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_doris530listexperience,ADB - SharePoint Site Renewal
Renewal task for Site Whatever triggered due to workspace inactivity,Waiting for confirmation (Task escalated),Bonnie Test,BonnieTest@7rkd12.onmicrosoft.com,2026-01-27 18:30:58,2026-01-13 18:30:36,9999-12-31 23:59:59,Renew Site,https://7rkd12.sharepoint.com/sites/org_csd_whatever,ADB - SharePoint Site Renewal
