Report Refresh Date,User Principal Name,Is Deleted,Deleted Date,Last Activity Date,Viewed Or Edited File Count,Synced File Count,Shared Internally File Count,Shared Externally File Count,Visited Page Count,Assigned Products,Report Period
2026-08-10,KevinTest@7rkd12.onmicrosoft.com,False,,2025-08-21,0,0,0,0,0,MICROSOFT POWER APPS FOR DEVELOPER+MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)+MICROSOFT POWER AUTOMATE FREE,30
2026-08-10,LeilaTest@7rkd12.onmicrosoft.com,False,,2026-08-07,23,0,0,0,34,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)+MICROSOFT POWER AUTOMATE FREE+MICROSOFT POWER APPS FOR DEVELOPER,30
2026-08-10,JasonTest@7rkd12.onmicrosoft.com,False,,2025-09-01,0,0,0,0,0,,30
2026-08-10,RyanTest@7rkd12.onmicrosoft.com,False,,2026-05-08,0,0,0,0,0,MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,LidiaH@7rkd12.onmicrosoft.com,False,,,0,0,0,0,0,,30
2026-08-10,ADBDRMTest01@7rkd12.onmicrosoft.com,False,,2026-05-19,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,AdaLuUPN@7rkd12.onmicrosoft.com,False,,2026-04-29,0,0,0,0,0,MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,ADBDRMTest05@7rkd12.onmicrosoft.com,False,,2026-07-07,0,0,0,0,0,,30
2026-08-10,LeahTest@7rkd12.onmicrosoft.com,False,,2026-07-21,1,0,0,0,5,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)+MICROSOFT POWER AUTOMATE FREE,30
2026-08-10,ScottFan@7rkd12.onmicrosoft.com,False,,2026-08-07,15,0,0,0,21,MICROSOFT POWER AUTOMATE FREE+MICROSOFT POWER APPS FOR DEVELOPER+POWER PAGES VTRIAL FOR MAKERS+MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,opus.reviewer1@7rkd12.onmicrosoft.com,False,,2024-12-02,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,Nigeltest@7rkd12.onmicrosoft.com,False,,2026-02-27,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,BonnieTest@7rkd12.onmicrosoft.com,False,,2026-08-06,180,0,0,0,87,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)+MICROSOFT POWER AUTOMATE FREE,30
2026-08-10,ErinTest@7rkd12.onmicrosoft.com,False,,2025-07-07,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)+MICROSOFT POWER AUTOMATE FREE,30
2026-08-10,Aprilis@7rkd12.onmicrosoft.com,False,,2026-02-10,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2026-08-10,Migration@7rkd12.onmicrosoft.com,False,,,0,0,0,0,0,,30
